Year,player,team,bbrefid,namefirst,namelast,suffix
2023,Marcus Semien,TEX,semiema01,Marcus,Semien,
2023,Ronald Acuña Jr.,ATL,acunaro01,Ronald,Acuña,Jr.
2023,Freddie Freeman,LAD,freemfr01,Freddie,Freeman,
2023,Alex Bregman,HOU,bregmal01,Alex,Bregman,
2023,Nathaniel Lowe,TEX,lowena01,Nathaniel,Lowe,
2023,Matt Olson,ATL,olsonma02,Matt,Olson,
2023,Kyle Schwarber,PHI,schwaky01,Kyle,Schwarber,
2023,Steven Kwan,CLE,kwanst01,Steven,Kwan,
2023,Austin Riley,ATL,rileyau01,Austin,Riley,
2023,Julio Rodríguez,SEA,rodriju01,Julio,Rodríguez,
2023,Juan Soto,SDP,sotoju01,Juan,Soto,
2023,Eugenio Suárez,SEA,suareeu01,Eugenio,Suárez,
2023,Bobby Witt Jr.,KCR,wittbo02,Bobby,Witt,Jr.
2023,Mookie Betts,LAD,bettsmo01,Mookie,Betts,
2023,Ian Happ,CHC,happia01,Ian,Happ,
2023,José Ramírez,CLE,ramirjo01,José,Ramírez,
2023,Trea Turner,PHI,turnetr01,Trea,Turner,
2023,Nico Hoerner,CHC,hoernni01,Nico,Hoerner,
2023,Paul Goldschmidt,STL,goldspa01,Paul,Goldschmidt,
2023,Francisco Lindor,NYM,lindofr01,Francisco,Lindor,
2023,Adley Rutschman,BAL,rutscad01,Adley,Rutschman,
2023,Spencer Torkelson,DET,torkesp01,Spencer,Torkelson,
2023,George Springer,TOR,springe01,George,Springer,
2023,Vladimir Guerrero Jr.,TOR,guerrvl02,Vladimir,Guerrero,Jr.
2023,Brandon Nimmo,NYM,nimmobr01,Brandon,Nimmo,
2023,Teoscar Hernández,SEA,hernate01,Teoscar,Hernández,
2023,Kyle Tucker,HOU,tuckeky01,Kyle,Tucker,
2023,Gleyber Torres,NYY,torregl01,Gleyber,Torres,
2023,Nick Castellanos,PHI,casteni01,Nick,Castellanos,
2023,Xander Bogaerts,SDP,bogaexa01,Xander,Bogaerts,
2023,Ty France,SEA,francty01,Ty,France,
2023,Spencer Steer,CIN,steersp01,Spencer,Steer,
2023,Christian Walker,ARI,walkech02,Christian,Walker,
2023,Ozzie Albies,ATL,albieoz01,Ozzie,Albies,
2023,Pete Alonso,NYM,alonspe01,Pete,Alonso,
2023,Joey Meneses,WSN,menesjo01,Joey,Meneses,
2023,Rafael Devers,BOS,deverra01,Rafael,Devers,
2023,Anthony Santander,BAL,santaan02,Anthony,Santander,
2023,Randy Arozarena,TBR,arozara01,Randy,Arozarena,
2023,Ketel Marte,ARI,marteke01,Ketel,Marte,
2023,Jeff McNeil,NYM,mcneije01,Jeff,McNeil,
2023,Corbin Carroll,ARI,carroco02,Corbin,Carroll,
2023,Bryan Reynolds,PIT,reynobr01,Bryan,Reynolds,
2023,Bryson Stott,PHI,stottbr01,Bryson,Stott,
2023,Willy Adames,MIL,adamewi01,Willy,Adames,
2023,J.P. Crawford,SEA,crawfjp01,J.P.,Crawford,
2023,Dansby Swanson,CHC,swansda01,Dansby,Swanson,
2023,Fernando Tatis Jr.,SDP,tatisfe02,Fernando,Tatis,Jr.
2023,Jeremy Peña,HOU,penaje02,Jeremy,Peña,
2023,Adolis García,TEX,garciad02,Adolis,García,
2023,Christian Yelich,MIL,yelicch01,Christian,Yelich,
2023,Ryan McMahon,COL,mcmahry01,Ryan,McMahon,
2023,Bryan De La Cruz,MIA,delacbr01,Bryan,De La Cruz,
2023,Ha-Seong Kim,SDP,kimha01,Ha-Seong,Kim,
2023,Justin Turner,BOS,turneju01,Justin,Turner,
2023,Gunnar Henderson,BAL,hendegu01,Gunnar,Henderson,
2023,Andrew Benintendi,CHW,beninan01,Andrew,Benintendi,
2023,Carlos Santana,PIT,santaca01,Carlos,Santana,
2023,Carlos Santana,MIL,santaca01,Carlos,Santana,
2023,Luis Arráez,MIA,arraelu01,Luis,Arráez,
2023,Josh Bell,CLE,belljo02,Josh,Bell,
2023,Josh Bell,MIA,belljo02,Josh,Bell,
2023,Andrés Giménez,CLE,gimenan01,Andrés,Giménez,
2023,Ezequiel Tovar,COL,tovarez01,Ezequiel,Tovar,
2023,Andrew Vaughn,CHW,vaughan01,Andrew,Vaughn,
2023,CJ Abrams,WSN,abramcj01,CJ,Abrams,
2023,Nolan Arenado,STL,arenano01,Nolan,Arenado,
2023,Alec Bohm,PHI,bohmal01,Alec,Bohm,
2023,William Contreras,MIL,contrwi02,William,Contreras,
2023,MJ Melendez,KCR,melenmj01,MJ,Melendez,
2023,Alex Verdugo,BOS,verdual01,Alex,Verdugo,
2023,Bo Bichette,TOR,bichebo01,Bo,Bichette,
2023,Manny Machado,SDP,machama01,Manny,Machado,
2023,Anthony Volpe,NYY,volpean01,Anthony,Volpe,
2023,Yandy Díaz,TBR,diazya01,Yandy,Díaz,
2023,Shohei Ohtani,LAA,ohtansh01,Shohei,Ohtani,
2023,Luis Robert Jr.,CHW,roberlu01,Luis,Robert,Jr.
2023,José Abreu,HOU,abreujo02,José,Abreu,
2023,Lourdes Gurriel Jr.,ARI,gurrilo01,Lourdes,Gurriel,Jr.
2023,Whit Merrifield,TOR,merriwh01,Whit,Merrifield,
2023,Marcell Ozuna,ATL,ozunama01,Marcell,Ozuna,
2023,Dominic Smith,WSN,smithdo02,Dominic,Smith,
2023,Seiya Suzuki,CHC,suzukse01,Seiya,Suzuki,
2023,Matt Chapman,TOR,chapmma01,Matt,Chapman,
2023,Daulton Varsho,TOR,varshda01,Daulton,Varsho,
2023,Carlos Correa,MIN,correca01,Carlos,Correa,
2023,Salvador Perez,KCR,perezsa02,Salvador,Perez,
2023,Jorge Soler,MIA,solerjo01,Jorge,Soler,
2023,Masataka Yoshida,BOS,yoshima02,Masataka,Yoshida,
2023,Max Muncy,LAD,muncyma01,Max,Muncy,
2023,Jeimer Candelario,WSN,candeje01,Jeimer,Candelario,
2023,Jeimer Candelario,CHC,candeje01,Jeimer,Candelario,
2023,Isaac Paredes,TBR,paredis01,Isaac,Paredes,
2023,Cal Raleigh,SEA,raleica01,Cal,Raleigh,
2023,James Outman,LAD,outmaja01,James,Outman,
2023,Austin Hays,BAL,haysau01,Austin,Hays,
2023,DJ LeMahieu,NYY,lemahdj01,DJ,LeMahieu,
2023,Keibert Ruiz,WSN,ruizke01,Keibert,Ruiz,
2023,Cody Bellinger,CHC,bellico01,Cody,Bellinger,
2023,TJ Friedl,CIN,friedtj01,TJ,Friedl,
2023,Trent Grisham,SDP,grishtr01,Trent,Grisham,
2023,Will Smith,LAD,smithwi05,Will,Smith,
2023,Leody Taveras,TEX,taverle01,Leody,Taveras,
2023,Hunter Renfroe,LAA,renfrhu01,Hunter,Renfroe,
2023,Hunter Renfroe,CIN,renfrhu01,Hunter,Renfroe,
2023,Javier Báez,DET,baezja01,Javier,Báez,
2023,J.D. Davis,SFG,davisjd01,J.D.,Davis,
2023,Bryce Harper,PHI,harpebr03,Bryce,Harper,
2023,Amed Rosario,CLE,rosaram01,Amed,Rosario,
2023,Amed Rosario,LAD,rosaram01,Amed,Rosario,
2023,J.T. Realmuto,PHI,realmjt01,J.T.,Realmuto,
2023,Jake Burger,CHW,burgeja01,Jake,Burger,
2023,Jake Burger,MIA,burgeja01,Jake,Burger,
2023,Michael Harris II,ATL,harrimi04,Michael,Harris,II
2023,Corey Seager,TEX,seageco01,Corey,Seager,
2023,Jack Suwinski,PIT,suwinja01,Jack,Suwinski,
2023,Orlando Arcia,ATL,arciaor01,Orlando,Arcia,
2023,Thairo Estrada,SFG,estrath01,Thairo,Estrada,
2023,Matt Vierling,DET,vierlma01,Matt,Vierling,
2023,Jonathan India,CIN,indiajo01,Jonathan,India,
2023,Tommy Edman,STL,edmanto01,Tommy,Edman,
2023,Elias Díaz,COL,diazel01,Elias,Díaz,
2023,Brent Rooker,OAK,rookebr01,Brent,Rooker,
2023,Ke'Bryan Hayes,PIT,hayeske01,Ke'Bryan,Hayes,
2023,Tim Anderson,CHW,anderti01,Tim,Anderson,
2023,Brandon Drury,LAA,drurybr01,Brandon,Drury,
2023,Jake Cronenworth,SDP,croneja01,Jake,Cronenworth,
2023,Jurickson Profar,COL,profaju01,Jurickson,Profar,
2023,Jurickson Profar,SDP,profaju01,Jurickson,Profar,
2023,LaMonte Wade Jr.,SFG,wadela01,LaMonte,Wade,Jr.
2023,Myles Straw,CLE,strawmy01,Myles,Straw,
2023,Tyler Stephenson,CIN,stephty01,Tyler,Stephenson,
2023,Eddie Rosario,ATL,rosared01,Eddie,Rosario,
2023,Maikel Garcia,KCR,garcima01,Maikel,Garcia,
2023,Josh Jung,TEX,jungjo01,Josh,Jung,
2023,Kiké Hernández,BOS,hernaen02,Kiké,Hernández,
2023,Kiké Hernández,LAD,hernaen02,Kiké,Hernández,
2023,Mark Canha,NYM,canhama01,Mark,Canha,
2023,Mark Canha,MIL,canhama01,Mark,Canha,
