"playerid","bbrefid","name","player_url"
abadijo01,abadijo01,John Abadie,https://www.baseball-reference.com/players/a/abadijo01.shtml
abbotda01,abbotda01,Dan Abbott,https://www.baseball-reference.com/players/a/abbotda01.shtml
abreuju01,abreuju01,Juan Abreu,https://www.baseball-reference.com/players/a/abreuju01.shtml
actama99,actama99,Manny Acta,https://www.baseball-reference.com/players/a/actama99.shtml
adairbi99,adairbi99,Bill Adair,https://www.baseball-reference.com/players/a/adairbi99.shtml
adamsdo01,adamsdo01,Doug Adams,https://www.baseball-reference.com/players/a/adamsdo01.shtml
ahearch01,ahearch01,Bill Ahearn,https://www.baseball-reference.com/players/a/ahearch01.shtml
aitonge01,aitonge01,George Aiton,https://www.baseball-reference.com/players/a/aitonge01.shtml
alexasc01,alexasc02,Scott Alexander,https://www.baseball-reference.com/players/a/alexasc02.shtml
allenhe01,allenhe01,Hezekiah Allen,https://www.baseball-reference.com/players/a/allenhe01.shtml
allenro01,allenro01,Ron Allen,https://www.baseball-reference.com/players/a/allenro01.shtml
allisan01,allisan01,Andy Allison,https://www.baseball-reference.com/players/a/allisan01.shtml
allisbi01,allisbi01,Bill Allison,https://www.baseball-reference.com/players/a/allisbi01.shtml
alstoto01,alstoto01,Tom Alston,https://www.baseball-reference.com/players/a/alstoto01.shtml
andrejo02,andrejo02,John Andrews,https://www.baseball-reference.com/players/a/andrejo02.shtml
armoubi99,armoubi99,Bill Armour,https://www.baseball-reference.com/players/a/armoubi99.shtml
armstbo01,armstsa01,Robert Armstrong,https://www.baseball-reference.com/players/a/armstsa01.shtml
armstsh01,armstsh01,Shawn Armstrong,https://www.baseball-reference.com/players/a/armstsh01.shtml
arnolbi01,arnolbi01,Billy Arnold,https://www.baseball-reference.com/players/a/arnolbi01.shtml
arroyru01,arroyru01,Rudy Arroyo,https://www.baseball-reference.com/players/a/arroyru01.shtml
arrueer01,arrueba01,Erisbel Arruebarrena,https://www.baseball-reference.com/players/a/arrueba01.shtml
atkined01,atkined01,Ed Atkinson,https://www.baseball-reference.com/players/a/atkined01.shtml
bahrefr01,bahrefr01,Frank Bahret,https://www.baseball-reference.com/players/b/bahrefr01.shtml
bakerch01,bakerch01,Charlie Baker,https://www.baseball-reference.com/players/b/bakerch01.shtml
baldwof01,baldwo.01,Orson Baldwin,https://www.baseball-reference.com/players/b/baldwo.01.shtml
banckst01,banckst01,Studs Bancker,https://www.baseball-reference.com/players/b/banckst01.shtml
bancrfr99,bancrfr99,Frank Bancroft,https://www.baseball-reference.com/players/b/bancrfr99.shtml
barbech01,barbech01,Charlie Barber,https://www.baseball-reference.com/players/b/barbech01.shtml
barlial99,barlial99,Al Barlick,https://www.baseball-reference.com/players/b/barlial99.shtml
barnebi01,barnebi01,Bill Barnes,https://www.baseball-reference.com/players/b/barnebi01.shtml
barre01,barre01,John Barrett,https://www.baseball-reference.com/players/b/barre01.shtml
barrebi01,barrebi01,Bill Barrett,https://www.baseball-reference.com/players/b/barrebi01.shtml
barrema01,barrema01,Marty Barrett,https://www.baseball-reference.com/players/b/barrema01.shtml
barroed99,barroed99,Ed Barrow,https://www.baseball-reference.com/players/b/barroed99.shtml
bassjo01,bassjo01,John Bass,https://www.baseball-reference.com/players/b/bassjo01.shtml
batesde01,batesde01,Del Bates,https://www.baseball-reference.com/players/b/batesde01.shtml
bauerlo01,bauerlo01,Lou Bauer,https://www.baseball-reference.com/players/b/bauerlo01.shtml
beachja01,beachja01,Jack Beach,https://www.baseball-reference.com/players/b/beachja01.shtml
beamal01,beamal01,Alex Beam,https://www.baseball-reference.com/players/b/beamal01.shtml
beaslto99,beaslto99,Tony Beasley,https://www.baseball-reference.com/players/b/beaslto99.shtml
beatlda01,beatlda01,Dave Beadle,https://www.baseball-reference.com/players/b/beatlda01.shtml
beaveed01,beavee.01,Edward Beavens,https://www.baseball-reference.com/players/b/beavee.01.shtml
becanbu01,becanbu01,Buck Becannon,https://www.baseball-reference.com/players/b/becanbu01.shtml
beeksja01,beeksja02,Jalen Beeks,https://www.baseball-reference.com/players/b/beeksja02.shtml
begleed01,begleed01,Ed Bagley,https://www.baseball-reference.com/players/b/begleed01.shtml
bellfr01,bellfr01,Frank Bell,https://www.baseball-reference.com/players/b/bellfr01.shtml
beltrom01,beltrom01,Omar Beltre,https://www.baseball-reference.com/players/b/beltrom01.shtml
benedar01,benedar01,Art Benedict,https://www.baseball-reference.com/players/b/benedar01.shtml
benneik01,benneik01,Ike Benners,https://www.baseball-reference.com/players/b/benneik01.shtml
bentlcy01,bentlcy01,Cy Bentley,https://www.baseball-reference.com/players/b/bentlcy01.shtml
berkefr01,berkefr01,Frank Berkelbach,https://www.baseball-reference.com/players/b/berkefr01.shtml
berrych01,berrych01,Charlie Berry,https://www.baseball-reference.com/players/b/berrych01.shtml
besti01,besti01,William Bestick,https://www.baseball-reference.com/players/b/besti01.shtml
bevinte99,bevinte99,Terry Bevington,https://www.baseball-reference.com/players/b/bevinte99.shtml
bezdehu99,bezdehu99,Hugo Bezdek,https://www.baseball-reference.com/players/b/bezdehu99.shtml
